postal_code,dist_to_cbd_m
680225,15944.8
680633,16821.3
680526,16983.3
680458,16490.1
680753,16648.3
680134,15390.4
680108,15083.1
680764,16546.4
680164,15030.1
680768,16559.7
120344,9878.5
120710,10282.1
120611,9359.4
120303,10454.6
120509,10474.9
120508,10411.3
120308,10228.2
120728,10027.2
120307,10224.2
120730,10070.2
120507,10527.0
120701,10332.7
120329,9867.3
120326,10019.6
120506,10533.6
120331,9842.5
120351,9583.3
120305,10362.8
120306,10348.2
120376,10126.2
120319,10295.4
120335,9893.6
120304,10432.7
120327,9985.0
120421,9613.0
120716,10034.2
120709,10205.2
120410,9562.1
120411,9555.6
120334,9829.5
120333,9928.0
120315,10273.0
120454,9935.6
120456,9865.2
120420,9595.2
120462,9953.5
120417,9407.6
120418,9475.3
122441,10243.7
120357,9708.3
120613,9540.0
120103,10092.6
120459,9835.6
120206,10728.9
370058,5945.4
370032,6354.4
370037,6215.3
370087,5735.0
370060,5996.0
370059,5987.0
400021,7315.1
400016,7284.3
370066,6161.2
400017,7304.5
400020,7286.3
370061,6049.4
390097,4930.8
380053,4879.6
390036,4683.7
420003,6336.4
400033,6785.1
370036,6319.4
400327,7505.8
400322,7656.8
400009,7056.1
370031,6300.8
390034,4613.4
391012,4347.7
371092,5873.3
400034,6837.3
390047,4603.2
403002,6294.8
400024,7146.7
380126,5518.8
370041,6104.5
391007,4314.3
370053,5895.0
380130,5407.2
530701,9975.4
530317,10248.9
530024,10040.6
530110,8858.2
530023,9903.5
530115,8574.3
530241,9155.6
530109,8893.8
530661,10497.1
530511,10531.9
530114,8653.4
530021,9883.9
532987,10922.9
530311,10198.6
530690,10898.8
530605,10331.0
530617,10057.4
530686,10782.3
530636,10014.6
533980,11069.2
531981,11101.7
530679,10312.4
530244,9316.9
530336,10738.3
530965,10791.3
531984,11277.3
530507,10525.5
530611,10156.3
530305,10332.3
530167,8534.7
530332,10622.9
530173,8382.9
530417,11259.5
533987,10898.8
530371,9743.4
530830,10481.1
530971,10844.6
533978,10997.3
536980,11112.0
530351,11011.6
530928,10729.9
530926,10647.6
530504,10639.6
530156,8166.2
530945,10456.4
530306,10381.5
530144,8263.8
530634,9939.8
530833,10434.4
530407,10967.8
600371,15046.6
600023,13179.1
600410,12176.7
600411,12255.5
600313,14846.4
600033,12811.9
600047,13013.6
600210,13897.3
600372,15077.6
600229,14114.6
600348,14941.8
600264,13875.7
600314,14835.7
600251,14018.5
600312,14966.4
600268,13428.1
600208,13484.4
600282,13102.3
600265,13407.9
601219,14111.0
600271,13295.3
600116,14344.5
600277,13218.0
600201,13345.6
604288,13414.4
600267,13408.3
600334,15214.6
600050,13248.1
601322,15281.4
601287,13369.3
603287,13239.3
640210,16920.7
610122,15285.9
640187,17047.6
640209,16646.7
610112,15220.2
640175,17219.3
640494,15799.4
640528,16533.3
640476,15783.0
640915,19238.4
640928,19087.7
640926,19078.8
640524,16454.4
643180,17364.9
642181,17412.2
642180,17318.9
614339,15580.3
641180,17349.1
640942,19164.0
640420,15630.5
640546,16921.9
640534,16552.3
640449,16584.4
640864,18863.1
640540,16802.7
642275,18206.6
640854,18636.8
640938,19104.0
640940,19214.3
640825,18865.3
640441,16336.4
610184,15354.2
640542,16824.4
640722,18249.9
642677,17675.4
641673,17974.2
640484,15599.2
640953,18979.8
610352,15807.8
642657,17688.9
640636,18220.2
641986,18334.7
641661,17235.9
610353,15772.2
643684,17599.2
641181,17444.5
643681,17625.9
640703,18435.1
640639,18276.4
640459,16237.8
641988,18250.1
641183,17286.0
640646,18211.8
641683,17517.6
640694,17338.8
641664,17535.7
640515,16066.3
643648,18111.0
640688,17399.8
640201,16463.6
640452,16528.6
642276,18003.2
643272,17893.3
640402,16241.6
642674,17916.3
640706,18561.0
640610,17757.4
640427,15811.9
640416,15853.9
643652,18084.2
642660,17346.6
640704,18450.8
640202,16518.8
644678,17769.7
643677,17639.1
641675,17782.2
640437,16017.9
642648,18069.6
640645,18260.5
642652,18025.0
642661,17196.4
640603,17844.2
643682,17496.9
640696,17221.7
642274,18133.1
643274,18060.9
642669,17747.7
640829,18738.5
640407,16413.3
640937,19055.1
640842,18777.8
640861,18643.5
640628,18079.3
641671,17840.7
640709,18603.7
640719,18417.9
640604,17876.3
610154,15172.0
642665,17628.9
610335,15488.7
640470,16103.7
431007,4098.3
320077,4513.2
330044,4508.8
330064,4412.7
330045,4511.5
320082,4391.4
431002,4171.3
321020,4627.3
330034,4166.2
431003,4158.8
380016,4101.3
200801,2725.0
330063,4477.0
330026,3954.5
200804,2798.8
210010,3254.3
320046,4811.4
210009,3216.6
320111,4141.9
210038,3558.6
330060,4675.7
380014,3976.3
210011,3078.5
332059,4593.4
333038,4413.0
381003,4019.3
332038,4355.5
330008,3714.1
330056,4722.2
320030,4618.0
321103,4749.1
200807,2962.9
380013,3943.0
330009,3665.4
330046,4550.9
440032,7040.6
440047,7170.0
440059,7439.3
440031,7019.6
440066,6844.5
440065,6826.5
440046,7195.7
440067,6847.9
440055,7348.4
440017,7311.0
440029,7177.5
510768,13730.4
510127,14649.8
510103,15055.6
510626,14505.8
510145,14975.6
510109,14897.1
510411,15038.7
510773,13766.0
510429,15070.5
510639,14175.6
510744,13888.0
510514,14278.1
510115,14827.8
510231,15709.4
510771,13830.8
510187,14947.2
510560,14295.8
510746,13985.9
510232,15814.5
510196,15121.1
510483,15629.4
510257,15488.6
510777,13852.5
510551,14577.5
510517,14332.8
510753,13800.3
510423,14906.9
510520,14318.0
510576,14452.6
510247,15608.3
510208,15280.0
510205,15415.2
510646,14163.9
510221,15514.6
510457,15437.8
510500,14621.6
510537,14457.6
510543,14560.6
510549,14638.0
510547,14703.7
823210,13833.6
823602,14478.4
821601,14468.7
821622,14398.3
823266,14300.0
821208,14054.4
822210,13885.3
823624,14495.3
822288,14297.0
822289,14146.7
821175,14047.7
823176,14121.9
821195,14309.5
821602,14540.2
821635,14632.0
821213,13824.3
822632,14587.8
822269,14170.9
822612,14742.7
823288,14293.1
824305,14766.9
823170,13918.1
821209,13881.0
821604,14644.4
821619,14680.3
822213,13879.3
822273,14158.0
822613,14682.5
821618,14588.3
824618,14607.2
823213,13895.1
822624,14504.0
823615,14699.8
822212,13891.0
821210,13886.0
824207,14002.4
822301,14568.8
822265,14350.4
822270,14262.8
824306,14776.6
821265,14397.1
822271,14322.7
824273,14199.6
820133,13669.6
821107,13917.1
820178,14212.0
823109,13842.8
823128,13753.4
824110,13880.8
821174,14054.0
822102,14030.8
823637,14538.8
824109,13854.1
820645,14461.2
821161,14217.0
821638,14608.9
821101,13949.0
822163,14129.2
821288,14246.9
824265,14298.9
822618,14596.0
823274,14301.2
821269,14155.2
820111,13851.1
140083,6089.5
140166,5493.1
140154,5401.2
271008,6810.9
140023,5845.0
270031,6529.6
271004,6707.2
272009,6801.0
270003,7760.2
142053,6399.8
133028,8039.9
130023,7950.4
271010,6867.7
272012,6888.2
140055,4764.9
270028,7869.3
140051,4834.1
140048,4954.3
142050,6308.7
142052,6331.3
144061,4494.4
142091,6051.5
140130,4166.5
271022,7808.7
130022,7942.4
140184,5368.8
275018,7127.7
751463,19358.8
752463,19423.6
751590,18549.5
750474,18793.2
751467,19037.1
750401,19186.6
753501,18748.5
752360,18599.9
751359,18692.3
751469,18749.1
750308,18199.9
753508,18914.1
750490,19268.2
750405,19079.3
750493,19409.2
752510,19016.3
750341,18348.0
750470,18917.8
751507,18856.2
750421,18990.9
750324,18091.2
752509,18963.9
750483,19379.9
750491,19352.3
750412,18881.9
751360,18642.7
750334,18450.8
752340,18367.7
750336,18391.3
750312,18007.4
752357,18713.2
752469,18629.4
750325,18067.6
750326,18096.9
750332,18330.1
751468,18824.4
751506,18768.8
750416,18853.5
751339,18460.2
544180,13334.9
791448,12230.5
792450,12353.9
793439,12292.7
792447,12181.8
791445,12184.9
793430,12547.6
791433,12551.2
791450,12407.7
543184,13506.5
543124,12806.8
540131,12965.9
544178,13315.5
541291,13346.5
542303,12167.9
541121,12795.0
547207,12203.9
542178,13238.4
543180,13310.6
544122,12871.6
542121,12745.8
541188,13543.3
540195,13267.2
541158,13079.9
540155,13294.5
541116,12241.6
543178,13269.9
540240,12855.1
541322,12695.7
541178,13260.4
541260,12995.2
543314,12554.5
543313,12557.0
540140,12967.0
544211,12408.9
540247,13037.5
793446,12172.8
791408,11856.9
791409,11921.1
792411,12029.3
541324,12873.2
792452,12333.7
791441,12094.4
792433,12447.6
793410,11990.2
543257,12992.9
792451,12422.6
791434,12463.6
542277,11837.5
544269,12052.3
791432,12527.0
542266,11990.2
548265,11903.9
541269,12032.5
542271,12162.0
541271,12216.3
544273,12017.1
