school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score,school_tier,total_cca,lat,lon
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,CO-ED SCHOOL,0,0,0,0.54,0.15,0.28,0.72,0.19,32,2,3,0,4,2,4,0,0,-0.4692680938560963,Tier 3,13,1.42896700684852,103.790607539185
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,CO-ED SCHOOL,0,0,0,0.5,0.81,0.0,0.89,1.24,24,2,5,1,4,1,4,0,0,-0.4724020938732031,Tier 3,15,1.34787074766746,103.939221709073
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,768611,CO-ED SCHOOL,0,0,0,0.48,0.23,0.02,0.51,1.56,22,2,4,0,5,2,7,0,0,-0.4798431628713884,Tier 3,18,1.43347186925064,103.837755319448
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32   ,569299,CO-ED SCHOOL,0,0,0,0.51,0.23,0.1,0.73,1.08,24,2,4,0,4,2,5,0,0,-0.4833502917563245,Tier 3,15,1.36558782075966,103.850957126982
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4   ,469701,GIRLS' SCHOOL,0,0,0,0.2,0.09,0.15,0.22,0.33,30,2,2,0,11,1,4,1,0,-0.4868799017085924,Tier 3,18,1.3347253730189,103.941234868202
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81   ,738525,CO-ED SCHOOL,0,0,0,0.41,0.24,0.04,0.37,0.09,23,2,5,0,4,2,5,0,0,-0.4918250676527405,Tier 3,16,1.44203596557592,103.788339762066
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12   ,529426,CO-ED SCHOOL,0,0,0,0.48,0.6,0.03,0.88,2.21,32,2,3,0,4,2,6,0,0,-0.4938397460658197,Tier 3,15,1.3504863946694,103.943573098509
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place   ,828845,CO-ED SCHOOL,0,0,0,0.55,0.76,0.01,0.67,1.29,29,2,5,0,5,1,3,0,0,-0.5230921674618093,Tier 4,14,1.40514582647962,103.905156371376
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,649036,CO-ED SCHOOL,0,0,0,0.43,0.23,0.01,0.39,0.25,30,2,6,1,4,1,6,0,0,-0.5278753516754421,Tier 4,18,1.34254744877694,103.687950252103
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD   ,738240,CO-ED SCHOOL,0,0,0,0.54,0.25,0.01,0.51,0.26,21,2,4,1,4,1,6,0,0,-0.5321380124215703,Tier 4,16,1.43495229315857,103.797435733144
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH   ,319580,CO-ED SCHOOL,0,0,0,0.39,0.21,0.04,0.89,1.21,27,2,4,0,3,3,3,0,0,-0.5535727663691726,Tier 4,13,1.3373381935639,103.847148501824
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,CO-ED SCHOOL,0,0,0,0.58,0.16,0.03,0.71,0.95,30,2,4,0,4,1,6,0,0,-0.5615470572140139,Tier 4,15,1.43989958331782,103.804725587384
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD   ,738927,CO-ED SCHOOL,0,0,0,0.44,0.18,0.0,0.71,0.25,29,2,4,0,5,2,4,0,0,-0.5659204589408673,Tier 4,15,1.43383904037059,103.773643013846
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,828848,CO-ED SCHOOL,0,0,0,0.4,0.22,0.0,0.18,0.3,29,2,4,1,6,3,3,0,0,-0.5664895678960394,Tier 4,17,1.39648195114256,103.91233462071
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24   ,648347,CO-ED SCHOOL,0,0,0,0.47,0.15,0.02,0.27,0.27,29,2,4,1,4,2,5,0,0,-0.5698324160010951,Tier 4,16,1.35099779872539,103.707593724342
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,CO-ED SCHOOL,0,0,0,0.38,0.31,0.0,0.34,0.25,29,2,4,1,6,2,4,0,0,-0.5795135543069994,Tier 4,17,1.36932176584608,103.839630858752
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET   ,545088,CO-ED SCHOOL,0,0,0,0.38,0.12,0.0,0.3,0.4,25,2,4,0,3,2,6,0,0,-0.5813069690430767,Tier 4,15,1.38706146494859,103.903202683028
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT   ,688268,CO-ED SCHOOL,0,0,0,0.44,0.14,0.0,0.43,0.08,22,2,5,0,5,1,5,0,0,-0.5832766629985572,Tier 4,16,1.40285481877246,103.746822625758
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8   ,538786,BOYS' SCHOOL,0,0,0,0.27,0.1,0.2,0.2,0.48,25,2,2,0,4,1,2,1,0,-0.584540071134304,Tier 4,9,1.37382444075979,103.889307782925
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link   ,757521,CO-ED SCHOOL,0,0,0,0.38,0.05,0.02,0.35,0.57,30,2,3,1,8,2,6,0,0,-0.5863208774654083,Tier 4,20,1.45403837499301,103.817436231731
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3   ,129903,CO-ED SCHOOL,0,0,0,0.31,0.09,0.0,0.35,0.87,37,2,7,2,6,1,6,0,0,-0.5880534928043836,Tier 4,22,1.31506321827875,103.763144493687
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD   ,768687,CO-ED SCHOOL,0,0,0,0.51,0.3,0.0,0.45,1.44,29,2,4,0,5,2,4,0,0,-0.5900220833106519,Tier 4,15,1.41741627551251,103.830143209875
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD   ,768679,CO-ED SCHOOL,0,0,0,0.43,0.35,0.01,0.38,0.9,21,2,5,1,3,1,5,0,0,-0.5927370334229378,Tier 4,15,1.43338602975674,103.834087115915
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,768515,CO-ED SCHOOL,0,0,0,0.51,0.27,0.01,0.49,0.67,22,2,3,0,4,1,6,0,0,-0.595871741236935,Tier 4,14,1.42768847665227,103.830425490093
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk   ,618310,CO-ED SCHOOL,0,0,0,0.49,0.31,0.02,0.89,1.45,29,2,5,0,4,1,4,0,0,-0.5982404117440744,Tier 4,14,1.33820397704287,103.718089546664
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,CO-ED SCHOOL,0,0,0,0.33,0.18,0.01,0.26,0.45,30,2,5,0,6,2,4,0,0,-0.6002188243817852,Tier 4,17,1.31236867681371,103.850766402965
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64   ,689100,CO-ED SCHOOL,0,0,0,0.43,0.08,0.03,0.46,0.36,27,2,7,0,5,1,3,0,0,-0.6047915436464429,Tier 4,16,1.39676600905037,103.750985967346
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,598112,CO-ED SCHOOL,0,0,0,0.43,0.1,0.02,0.66,1.33,24,2,3,3,6,2,5,0,0,-0.6059357328155265,Tier 4,19,1.3377498622588,103.766855344779
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1   ,519524,CO-ED SCHOOL,0,0,0,0.52,0.17,0.02,0.49,0.72,30,2,6,4,6,1,3,0,0,-0.6066023491603056,Tier 4,20,1.37738069854249,103.939541695654
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET   ,458436,CO-ED SCHOOL,0,0,0,0.54,0.25,0.02,0.73,0.98,25,2,3,1,4,2,3,0,0,-0.6135172804776201,Tier 4,13,1.31931914436255,103.923788259248
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD   ,677742,CO-ED SCHOOL,0,0,0,0.51,0.66,0.02,0.5,0.62,24,2,2,0,4,1,4,0,0,-0.6170457333608145,Tier 4,11,1.3836758200336,103.760240434318
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,797701,CO-ED SCHOOL,0,0,0,0.45,0.27,0.02,0.58,1.02,29,2,4,0,4,1,5,0,0,-0.6318099357293128,Tier 4,14,1.39030227963797,103.874445458032
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51   ,538720,CO-ED SCHOOL,0,0,0,0.43,0.09,0.0,0.21,0.85,29,2,2,1,4,2,7,0,0,-0.6362793512374535,Tier 4,16,1.37793264345276,103.885643682171
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,158901,CO-ED SCHOOL,0,0,0,0.37,0.08,0.0,0.2,0.19,29,4,3,0,5,3,3,0,0,-0.6366282839504737,Tier 4,14,1.28559516494962,103.815547410064
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk   ,828674,CO-ED SCHOOL,0,0,0,0.5,0.49,0.02,0.52,0.82,24,2,3,1,6,1,3,0,0,-0.641987160928816,Tier 4,14,1.41159923273069,103.898803921164
NORTHSHORE PRIMARY SCHOOL,30 Northshore Drive   ,828671,CO-ED SCHOOL,0,0,0,0.37,0.42,0.02,0.87,0.33,18,2,3,0,5,1,3,0,0,-0.6430357622696947,Tier 4,12,1.41813803336667,103.904416909742
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5   ,129857,CO-ED SCHOOL,0,0,0,0.27,0.19,0.0,0.15,0.42,29,2,4,0,4,3,3,0,0,-0.6434621144094366,Tier 4,14,1.31619786415976,103.767599818844
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE   ,738908,CO-ED SCHOOL,0,0,0,0.55,0.23,0.01,0.65,0.84,32,2,3,1,4,1,5,0,0,-0.6441037627234616,Tier 4,14,1.44415332824735,103.794577787757
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24   ,609558,CO-ED SCHOOL,0,0,0,0.29,0.11,0.01,0.14,0.17,23,2,4,0,7,1,6,0,0,-0.6456628936808573,Tier 4,18,1.34280230475033,103.741105772644
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,739063,CO-ED SCHOOL,0,0,0,0.45,0.26,0.01,0.42,0.1,29,2,4,0,4,1,4,0,0,-0.6518410822417197,Tier 4,13,1.43047990810126,103.778192944298
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT   ,479226,CO-ED SCHOOL,0,0,0,0.39,0.16,0.01,0.23,0.27,31,2,4,0,3,2,4,0,0,-0.6529379433400224,Tier 4,13,1.33546106800406,103.921270169613
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,649930,CO-ED SCHOOL,0,0,0,0.32,0.1,0.0,0.22,0.21,30,2,4,0,6,2,4,0,0,-0.6570071513247492,Tier 4,16,1.34317853793318,103.713280889452
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina   ,169485,CO-ED SCHOOL,0,0,0,0.58,0.33,0.02,0.97,1.57,29,2,1,0,8,2,2,0,0,-0.6635365464152997,Tier 4,13,1.28421153335379,103.825951875662
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9   ,529565,CO-ED SCHOOL,0,0,0,0.43,0.14,0.0,0.31,1.06,20,2,2,0,5,2,5,0,0,-0.6660078313429865,Tier 4,14,1.36047641484682,103.948725782833
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,349700,CO-ED SCHOOL,0,0,0,0.25,0.23,0.01,0.3,0.57,32,2,6,0,5,2,2,0,0,-0.66649314630245,Tier 4,15,1.3355885014312,103.87562104944
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,659634,CO-ED SCHOOL,0,0,0,0.27,0.07,0.0,0.23,0.8,23,2,5,3,5,1,6,0,0,-0.6666926493733335,Tier 4,20,1.34586054788695,103.75366641455
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10   ,569730,CO-ED SCHOOL,0,0,0,0.33,0.16,0.03,0.2,0.16,25,2,3,0,4,2,4,0,0,-0.6743661574949659,Tier 4,13,1.36003263746623,103.853826048327
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,469317,CO-ED SCHOOL,0,0,0,0.36,0.11,0.0,0.2,0.4,31,2,2,0,4,2,6,0,0,-0.6776056724011763,Tier 4,14,1.32344593287992,103.937878976352
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,CO-ED SCHOOL,0,0,0,0.39,0.29,0.0,0.2,0.67,30,2,4,0,4,1,5,0,0,-0.6781948239573499,Tier 4,14,1.39036998654612,103.887165375933
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,679944,CO-ED SCHOOL,0,0,0,0.51,0.08,0.0,0.33,0.2,29,2,4,1,5,1,4,0,0,-0.6789975085834739,Tier 4,15,1.38394936211823,103.773632022975
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK   ,545166,CO-ED SCHOOL,0,0,0,0.37,0.11,0.0,0.14,0.33,23,2,4,0,5,2,3,0,0,-0.6821496520986013,Tier 4,14,1.38949740422462,103.899767112047
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,319252,CO-ED SCHOOL,0,0,0,0.22,0.11,0.0,0.08,0.14,29,2,3,2,2,4,2,0,0,-0.6874798634538971,Tier 4,13,1.34032299499938,103.855529906182
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52   ,659243,CO-ED SCHOOL,0,0,0,0.22,0.08,0.0,0.13,0.27,27,2,4,1,4,1,7,0,0,-0.6887985466893195,Tier 4,17,1.35424191127295,103.754165828711
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1   ,538882,CO-ED SCHOOL,0,0,0,0.21,0.07,0.0,0.19,0.32,25,2,4,1,6,2,4,0,0,-0.6942427901075814,Tier 4,17,1.35790893589535,103.890472887906
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,609476,CO-ED SCHOOL,0,0,0,0.47,0.31,0.0,0.5,0.97,30,2,3,0,5,1,4,0,0,-0.6964922530147859,Tier 4,13,1.34843859698946,103.733156566858
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31   ,659441,CO-ED SCHOOL,0,0,0,0.53,0.8,0.0,1.06,5.29,24,2,1,1,6,2,3,0,0,-0.701772363399332,Tier 4,13,1.3591797447277,103.74847210784
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33   ,529258,CO-ED SCHOOL,0,0,0,0.37,0.13,0.01,0.42,0.39,25,2,3,0,4,1,5,0,0,-0.7098558585833467,Tier 4,13,1.35268400746357,103.961676849165
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21   ,529393,CO-ED SCHOOL,0,0,0,0.34,0.09,0.0,0.08,0.44,23,2,3,0,3,2,4,0,0,-0.7286132440060124,Tier 4,12,1.35129177656981,103.950461927088
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71   ,518798,CO-ED SCHOOL,0,0,0,0.27,0.24,0.0,0.15,0.1,23,2,4,1,4,1,4,0,0,-0.7287602617540397,Tier 4,14,1.37552831658484,103.934889078518
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road   ,148812,CO-ED SCHOOL,0,0,0,0.22,0.06,0.0,0.13,0.24,31,2,3,0,4,2,5,0,0,-0.7319281287493353,Tier 4,14,1.29964188181021,103.80010216304
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54   ,689189,CO-ED SCHOOL,0,0,0,0.44,0.54,0.0,0.23,0.19,22,2,3,0,2,1,2,0,0,-0.7340955435306789,Tier 4,8,1.39356050497104,103.747362720939
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,88256,CO-ED SCHOOL,0,0,0,0.4,0.06,0.01,0.29,0.33,31,2,3,2,7,1,4,0,0,-0.7438952798733625,Tier 4,17,1.27547252623201,103.839962631748
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,109100,CO-ED SCHOOL,0,0,0,0.34,0.25,0.0,0.22,0.21,29,2,3,0,3,2,2,0,0,-0.7576415996808471,Tier 4,10,1.27612047924037,103.808628535239
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4   ,689814,CO-ED SCHOOL,0,0,0,0.6,0.33,0.04,0.81,1.3,29,2,1,0,4,0,4,0,0,-0.781744808668197,Tier 4,9,1.38000806197242,103.736225440727
MARYMOUNT CONVENT SCHOOL,20 Marymount Road   ,297754,GIRLS' SCHOOL,0,0,0,0.16,0.05,0.13,0.27,0.67,27,2,4,0,6,1,3,0,0,-0.7854779092417996,Tier 4,14,1.34036676987375,103.840021064426
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,529896,CO-ED SCHOOL,0,0,0,0.29,0.1,0.01,0.3,0.14,29,2,3,1,4,1,4,0,0,-0.7885156286284095,Tier 4,13,1.34023163951633,103.952080114035
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,CO-ED SCHOOL,0,0,0,0.3,0.06,0.0,0.18,0.17,21,2,3,1,4,1,4,0,0,-0.7923423001311012,Tier 4,13,1.43315271543517,103.832942401086
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1   ,739067,CO-ED SCHOOL,0,0,0,0.38,0.16,0.0,0.23,0.06,33,2,3,1,4,1,3,0,0,-0.8000201277163254,Tier 4,12,1.43240935732525,103.786035065192
PALM VIEW PRIMARY SCHOOL,150 Compassvale Bow   ,544822,CO-ED SCHOOL,0,0,0,0.5,0.06,0.01,0.51,0.86,28,2,4,1,5,0,3,0,0,-0.8070133391155452,Tier 4,13,1.38376923022123,103.891354675017
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK   ,688261,CO-ED SCHOOL,0,0,0,0.32,0.15,0.01,0.15,0.27,29,2,4,1,5,1,2,0,0,-0.8118356582008237,Tier 4,13,1.38364996834457,103.753291857016
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS   ,828869,CO-ED SCHOOL,0,0,0,0.4,0.08,0.0,0.29,0.36,32,2,3,0,4,1,3,0,0,-0.8159583420977761,Tier 4,11,1.40009139510996,103.907847599114
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4   ,556095,CO-ED SCHOOL,0,0,0,0.29,0.07,0.01,0.1,0.28,23,2,3,0,3,1,4,0,0,-0.8161201140685327,Tier 4,11,1.36020329705047,103.869762438084
PIONEER PRIMARY SCHOOL,80 TENGAH GARDEN AVENUE   ,699915,CO-ED SCHOOL,0,0,0,0.0,0.04,0.05,0.58,0.52,33,2,4,1,4,2,2,0,0,-0.8307454729371119,Tier 4,13,1.33902264667589,103.687769623983
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,339948,CO-ED SCHOOL,0,0,0,0.33,0.17,0.01,0.27,0.44,30,2,2,0,6,0,5,0,0,-0.837485985413177,Tier 4,13,1.32181250780475,103.865404167629
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive   ,757622,CO-ED SCHOOL,0,0,0,0.19,0.07,0.0,0.09,0.06,29,2,3,0,4,0,3,0,0,-0.9639681475473136,Tier 4,10,1.45660782030102,103.814196981329
