school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score,school_tier,total_cca,lat,lon
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD   ,309331,BOYS' SCHOOL,0,0,0,0.34,0.49,1.91,1.27,0.0,26,2,3,0,6,1,3,2,0,0.7411806432790895,Tier 2,13,1.31781476118551,103.845633334522
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52   ,649295,CO-ED SCHOOL,0,0,0,0.6,1.2,1.59,2.59,0.0,29,2,5,1,7,2,4,0,0,0.6555200810385525,Tier 2,19,1.34673868889096,103.718457955487
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,579793,CO-ED SCHOOL,0,0,0,0.57,0.72,1.33,1.48,0.0,29,2,3,2,11,2,5,1,0,0.5772883860778453,Tier 2,23,1.34978223750981,103.85452928785
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4   ,769026,CO-ED SCHOOL,0,0,0,0.58,0.94,1.07,3.76,0.0,31,2,5,0,7,2,6,0,0,0.5384116523853149,Tier 2,20,1.42096989918951,103.840928424929
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32   ,659401,CO-ED SCHOOL,0,0,0,0.46,0.45,0.91,1.43,0.0,30,2,5,2,5,2,4,2,0,0.515972164209939,Tier 2,18,1.3347253730189,103.941234868202
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,CO-ED SCHOOL,0,0,0,0.62,2.65,0.85,2.47,0.0,27,2,5,0,5,1,2,0,0,0.4772066440836483,Tier 2,13,1.35711606790292,103.949144797277
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,CO-ED SCHOOL,0,0,0,0.59,0.59,1.22,1.84,0.0,24,2,5,0,5,2,6,0,0,0.3476563782424775,Tier 2,18,1.4426347903311,103.800040119743
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,CO-ED SCHOOL,0,0,0,0.48,0.22,0.82,1.29,0.0,28,2,8,5,5,1,7,1,0,0.3144457573210057,Tier 2,26,1.3946184538592,103.908589494228
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,649332,CO-ED SCHOOL,0,0,0,0.57,1.32,0.68,1.65,0.0,22,2,4,1,5,4,3,0,0,0.2655868125931652,Tier 2,17,1.34765311431632,103.721523713379
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,797636,CO-ED SCHOOL,0,0,0,0.53,1.22,0.83,2.09,0.0,24,2,4,0,4,1,7,0,0,0.2280385604612773,Tier 2,16,1.39284606680477,103.875217666486
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,CO-ED SCHOOL,0,0,0,0.57,0.85,0.88,1.65,0.0,25,2,5,1,7,2,5,0,0,0.2141804102673745,Tier 2,20,1.37362179302436,103.769374904025
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3   ,469300,CO-ED SCHOOL,0,0,0,0.61,1.71,0.51,2.26,0.0,27,2,5,0,5,2,3,0,0,0.212236632073299,Tier 2,15,1.31770677551333,103.945590669163
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO   ,536741,GIRLS' SCHOOL,0,0,0,0.35,0.48,0.92,1.27,0.0,29,2,5,1,7,1,5,1,0,0.2064309156560771,Tier 2,19,1.34947276268396,103.884971343143
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,CO-ED SCHOOL,0,0,0,0.57,0.63,0.73,1.27,0.0,30,2,4,0,4,2,11,0,0,0.2019134552175123,Tier 2,21,1.38426429436736,103.841392081119
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE   ,99840,CO-ED SCHOOL,0,0,0,0.55,0.88,0.95,1.74,0.0,29,2,4,2,5,3,3,0,0,0.1924155984414615,Tier 2,17,1.27495823622634,103.824188270373
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,CO-ED SCHOOL,0,0,0,0.55,0.84,0.96,1.7,0.0,29,2,3,1,4,3,4,0,0,0.1724796954491986,Tier 2,15,1.37139548941931,103.883080767491
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,757702,CO-ED SCHOOL,0,0,0,0.6,1.08,0.59,2.18,0.0,29,2,5,0,5,1,7,0,0,0.1582344956946055,Tier 2,18,1.45192019155475,103.822303719094
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,CO-ED SCHOOL,0,0,0,0.54,1.21,0.84,1.71,0.0,24,2,3,1,5,2,4,0,0,0.1418735699339895,Tier 2,15,1.33641298743234,103.69970173931
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21   ,518968,CO-ED SCHOOL,0,0,0,0.69,1.0,1.01,1.68,0.0,30,2,4,1,13,0,3,0,0,0.1273778508548115,Tier 2,21,1.37241870245531,103.962807212116
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,556108,CO-ED SCHOOL,0,0,0,0.68,1.5,0.59,1.71,0.0,29,2,3,0,4,2,4,0,0,0.1182455365571706,Tier 2,13,1.34864575840923,103.868595527042
ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE   ,359337,BOYS' SCHOOL,0,0,0,0.3,0.5,0.83,1.3,0.0,29,0,4,0,6,2,2,1,0,0.0678759531418031,Tier 2,14,1.33140255308868,103.865117134385
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,CO-ED SCHOOL,0,0,0,0.55,1.14,0.7,1.73,0.0,29,2,6,1,7,1,2,0,0,0.0390406083985344,Tier 2,17,1.399550034492,103.913404855665
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,CO-ED SCHOOL,0,0,0,0.47,0.15,0.22,0.81,1.39,29,2,6,0,5,2,3,2,0,0.0371308255666724,Tier 2,16,1.3947078296399,103.743201812831
