postal_code,num_unique_hawker_500m,num_unique_hawker_1km,walking_dist_hawker_m
562700,1,5,468.0
560725,1,5,171.0
560620,1,2,293.0
561104,1,4,675.0
560253,0,4,969.0
560317,1,5,526.0
560352,1,4,561.0
560351,1,4,514.0
560616,2,2,610.0
560614,2,2,550.0
560613,2,2,460.0
460514,2,4,436.0
460101,1,3,456.0
460113,2,5,574.0
460114,2,5,490.0
460541,1,3,391.0
460534,1,2,146.0
460535,1,2,261.0
470617,1,2,375.0
470620,1,2,718.0
462807,0,2,748.0
462808,0,3,729.0
461220,2,6,400.0
463221,2,6,399.0
464219,2,6,418.0
460519,2,4,524.0
460522,2,4,441.0
460551,2,4,371.0
460424,0,4,694.0
460521,1,4,489.0
460550,2,4,336.0
460549,2,4,343.0
460423,1,4,722.0
460548,2,4,377.0
460520,2,4,573.0
460515,1,5,228.0
460410,2,6,267.0
460412,2,5,506.0
460418,2,4,520.0
460409,2,5,149.0
460402,2,4,534.0
460092,1,2,492.0
460105,1,3,471.0
460104,1,3,358.0
460100,1,2,440.0
460102,1,3,403.0
460103,1,3,336.0
460108,1,3,363.0
460425,1,4,632.0
460116,1,4,208.0
460077,0,3,666.0
460076,1,3,683.0
460109,1,4,460.0
460125,1,3,443.0
460075,1,3,654.0
460107,1,3,306.0
460426,1,4,575.0
462429,2,5,525.0
461431,1,6,330.0
460074,1,2,599.0
460110,2,4,504.0
461430,2,5,458.0
460117,1,4,217.0
460115,1,4,271.0
460124,1,3,396.0
460213,2,6,122.0
460202,1,4,466.0
460218,1,6,212.0
460203,2,5,351.0
460419,1,4,578.0
460217,2,6,122.0
460420,2,4,586.0
460214,2,6,330.0
460201,1,4,521.0
460204,2,5,320.0
460127,1,5,596.0
460122,1,6,501.0
460138,2,5,569.0
460129,1,5,654.0
460134,2,6,460.0
460135,2,6,511.0
460123,1,6,513.0
460126,1,4,543.0
460128,2,5,584.0
460554,2,4,427.0
460502,1,5,343.0
460529,2,2,427.0
460525,1,3,358.0
460510,1,5,226.0
460530,2,2,416.0
460531,2,2,245.0
460545,1,3,347.0
460546,1,4,304.0
460503,2,5,471.0
460542,1,3,414.0
460528,2,2,506.0
460536,1,3,345.0
460537,1,2,139.0
460526,1,3,309.0
460509,1,5,194.0
460533,1,2,256.0
460539,1,3,72.0
460504,1,5,428.0
462188,1,2,1203.0
464188,1,3,451.0
460084,1,4,101.0
461188,1,2,1206.0
462186,1,3,438.0
463188,1,2,442.0
473748,0,2,746.0
471747,0,2,898.0
470136,1,1,167.0
470631,1,1,167.0
470606,1,1,283.0
470628,1,1,386.0
470704,0,2,963.0
470709,1,3,763.0
470108,0,1,784.0
470121,1,1,547.0
470608,1,1,284.0
470609,1,1,312.0
470615,1,2,263.0
470742,0,1,1003.0
470107,0,1,842.0
470712,1,2,758.0
470151,1,1,573.0
470616,1,1,174.0
470138,1,1,276.0
470702,0,2,1077.0
470105,0,1,916.0
470103,0,1,945.0
470713,0,2,794.0
470117,0,1,694.0
470144,1,1,389.0
470150,1,1,531.0
470703,0,2,1041.0
470701,0,2,1135.0
470139,1,1,304.0
470619,1,2,563.0
460002,2,4,346.0
460023,3,4,401.0
460004,2,4,448.0
460022,3,4,446.0
460003,2,4,426.0
460001,1,4,253.0
460033,2,4,382.0
460158,0,1,1031.0
460069,0,2,866.0
460039,2,3,490.0
460018,1,4,103.0
460070,0,2,709.0
461032,0,3,723.0
461040,1,4,669.0
461036,0,3,760.0
461037,1,4,659.0
460055,0,2,1124.0
460058,0,1,1265.0
460057,0,1,1262.0
461807,0,2,814.0
463807,1,3,693.0
461019,0,2,902.0
460059,0,1,1325.0
461021,0,2,1002.0
461020,0,2,917.0
461042,1,4,673.0
461045,1,4,499.0
461050,1,1,667.0
460054,1,2,725.0
461044,1,4,575.0
460028,2,4,601.0
461057,1,4,51.0
464029,2,5,672.0
462027,3,5,546.0
461030,1,5,618.0
460210,2,4,168.0
461024,3,4,427.0
463220,2,6,346.0
462221,2,6,422.0
462220,2,6,345.0
461221,2,5,446.0
463219,2,6,380.0
461219,2,6,324.0
462219,2,6,326.0
460411,2,6,315.0
460512,1,4,238.0
460513,1,4,297.0
460517,1,4,393.0
460518,1,4,353.0
460408,2,6,216.0
460133,1,6,355.0
460131,1,6,429.0
460401,2,4,637.0
460403,1,4,459.0
460507,1,5,407.0
460404,1,6,392.0
460139,2,6,496.0
460508,1,5,360.0
460095,1,1,618.0
460093,1,2,570.0
460185,1,4,320.0
460079,1,4,516.0
460080,2,3,516.0
470705,0,2,1022.0
460421,2,4,619.0
460427,1,4,676.0
460422,1,4,666.0
460180,1,4,396.0
470706,0,2,976.0
460183,1,4,459.0
460181,1,4,452.0
460078,1,4,451.0
470708,0,2,979.0
470707,0,2,1035.0
460182,1,4,496.0
460082,1,3,401.0
460119,1,4,273.0
460428,1,4,624.0
460121,1,4,335.0
460081,1,3,458.0
460112,1,5,447.0
460130,1,6,539.0
460120,1,5,407.0
460132,1,6,466.0
460523,1,4,150.0
460543,1,2,407.0
460524,1,4,218.0
460547,1,4,362.0
462187,1,3,236.0
461186,1,3,424.0
460089,1,4,160.0
461187,1,3,231.0
460091,1,2,432.0
473747,0,2,814.0
471748,0,2,826.0
472748,0,2,795.0
472747,0,2,887.0
470119,0,1,672.0
470622,1,2,524.0
470120,0,1,635.0
470118,0,1,673.0
472613,1,2,565.0
470131,1,1,398.0
470142,1,1,430.0
470604,1,1,407.0
470723,1,2,680.0
470612,1,2,305.0
470717,0,2,843.0
470110,0,1,693.0
470123,1,1,538.0
470106,0,1,865.0
470147,1,1,506.0
470722,1,2,724.0
470116,0,1,750.0
470146,1,1,445.0
470626,1,1,384.0
470125,1,1,610.0
470602,1,1,668.0
470135,1,1,305.0
470128,1,1,432.0
470624,1,2,449.0
470718,0,2,790.0
470113,1,1,614.0
470127,1,1,466.0
470720,1,2,596.0
470122,1,1,492.0
470124,1,1,590.0
470133,1,1,347.0
470134,1,1,242.0
470724,1,2,798.0
470623,1,2,459.0
470141,1,1,389.0
470149,1,1,469.0
470611,1,1,317.0
470148,1,1,538.0
470762,0,2,806.0
470769,1,2,683.0
470765,0,2,877.0
470772,0,2,805.0
470767,1,2,753.0
470773,0,2,810.0
470768,1,2,662.0
470774,0,2,821.0
470764,0,2,915.0
470761,0,2,760.0
470763,0,2,865.0
470771,1,2,794.0
470766,0,2,809.0
470770,1,2,753.0
460037,1,3,396.0
460036,2,4,535.0
