school_name,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand
Opera Estate Primary School,0.52,0.24,0.0,0.8,1.71
Palm View Primary School,0.41,0.01,0.0,0.51,0.72
Park View Primary School,0.54,0.17,0.0,0.38,0.68
Pasir Ris Primary School,0.65,1.12,0.95,1.44,0.0
Paya Lebar Methodist Girls' School (Primary),0.36,0.47,1.05,1.24,0.0
Pei Chun Public School,0.54,1.07,1.52,2.09,0.0
Pei Hwa Presbyterian Primary School,0.68,2.26,2.55,2.05,0.0
Pei Tong Primary School,0.28,0.15,0.0,0.14,0.19
Peiying Primary School,0.53,0.32,0.0,0.5,1.29
Pioneer Primary School,0.0,0.04,0.05,0.58,0.52
Poi Ching School,0.52,0.24,0.89,2.14,0.0
Princess Elizabeth Primary School,0.63,2.79,1.4,5.66,0.0
Punggol Cove Primary School,0.54,0.36,0.0,0.21,0.66
Punggol Green Primary School,0.65,1.21,0.15,2.03,0.0
Punggol Primary School,0.54,1.02,0.15,1.27,0.0
Punggol View Primary School,0.51,0.81,0.0,0.73,2.24
Qifa Primary School,0.46,0.31,0.26,1.13,0.0
Qihua Primary School,0.42,0.25,0.0,0.46,0.02
Queenstown Primary School,0.59,0.28,0.0,1.1,0.0
Radin Mas Primary School,0.55,0.86,0.96,2.04,0.0
Raffles Girls' Primary School,0.29,0.43,0.63,1.24,0.0
Red Swastika School,0.47,1.16,2.1,2.27,0.0
River Valley Primary School,0.47,0.43,0.4,1.0,0.0
Riverside Primary School,0.67,1.38,0.3,1.46,0.0
Rivervale Primary School,0.48,0.27,0.45,1.16,0.0
Rosyth School,0.64,1.45,1.55,3.14,0.0
Rulang Primary School,0.66,1.44,1.5,2.45,0.0
Sembawang Primary School,0.54,0.77,0.0,1.43,0.0
Seng Kang Primary School,0.37,0.14,0.0,0.09,0.2
Sengkang Green Primary School,0.47,1.25,0.75,1.75,0.0
Shuqun Primary School,0.59,1.95,1.0,1.93,0.0
Si Ling Primary School,0.27,0.14,0.0,0.22,0.04
Singapore Chinese Girls' Primary School,0.43,1.32,1.35,1.41,0.0
South View Primary School,0.69,2.89,1.3,3.78,0.0
Springdale Primary School,0.6,0.57,0.0,0.72,1.85
St. Andrew's Junior School,0.27,0.58,0.85,1.24,0.0
St. Anthony's Canossian Primary School,0.22,0.09,0.05,0.2,0.38
St. Anthony's Primary School,0.43,0.44,0.87,1.46,0.0
St. Gabriel's Primary School,0.36,0.31,0.55,0.85,2.75
St. Hilda's Primary School,0.59,1.0,1.45,3.16,0.0
St. Joseph's Institution Junior,0.35,0.52,1.97,1.47,0.0
St. Margaret's School (Primary),0.31,0.26,0.36,1.11,0.0
St. Stephen's School,0.19,0.09,0.17,0.4,0.99
Tampines North Primary School,0.41,0.14,0.0,0.31,1.08
Tampines Primary School,0.43,0.43,0.05,0.64,2.36
Tanjong Katong Primary School,0.58,1.76,0.45,1.57,0.0
Tao Nan School,0.59,1.28,3.15,1.8,0.0
Teck Ghee Primary School,0.39,0.13,0.06,0.55,0.98
Teck Whye Primary School,0.3,0.21,0.0,0.16,0.46
Telok Kurau Primary School,0.34,0.24,0.0,0.42,0.82
Temasek Primary School,0.69,2.77,0.5,2.06,0.0
Unity Primary School,0.37,0.13,0.0,0.38,0.08
Valour Primary School,0.72,1.02,0.15,1.54,0.0
Waterway Primary School,0.75,1.95,0.0,1.7,0.0
Wellington Primary School,0.57,1.13,1.05,2.6,0.0
West Grove Primary School,0.45,0.07,0.0,0.3,0.49
West Spring Primary School,0.59,0.97,0.05,0.63,0.43
West View Primary School,0.57,0.97,0.0,0.52,0.45
Westwood Primary School,0.58,1.19,0.35,1.43,0.0
White Sands Primary School,0.49,0.28,0.06,0.77,0.87
Woodgrove Primary School,0.5,0.3,0.15,0.89,0.73
Woodlands Primary School,0.61,0.37,0.25,0.97,3.0
Woodlands Ring Primary School,0.56,0.19,0.0,0.49,0.08
Xinghua Primary School,0.28,0.08,0.0,0.32,0.74
Xingnan Primary School,0.55,0.31,0.0,0.48,0.31
Xinmin Primary School,0.6,0.82,0.79,1.64,0.0
Xishan Primary School,0.43,0.15,0.02,0.45,1.38
Yangzheng Primary School,0.64,2.56,0.7,2.09,0.0
Yew Tee Primary School,0.39,0.08,0.02,0.47,0.67
Yio Chu Kang Primary School,0.52,0.16,0.0,0.2,0.75
Yishun Primary School,0.41,0.35,0.0,0.41,1.07
Yu Neng Primary School,0.68,1.54,0.8,1.36,0.0
Yuhua Primary School,0.27,0.13,0.02,0.15,0.11
Yumin Primary School,0.32,0.06,0.0,0.05,0.39
Zhangde Primary School,0.58,0.34,0.0,0.85,1.46
Zhenghua Primary School,0.55,1.03,0.0,0.81,0.67
Zhonghua Primary School,0.17,0.03,0.0,0.06,0.29
