School_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ADMIRALTY PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,DESIGN AND INNOVATION,CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,"ENGLISH LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,INDIAN DANCE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,MODULAR CCA (SPORTS),PHYSICAL SPORTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHOTOGRAPHY,CLUBS AND SOCIETIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,ROPE SKIPPING,PHYSICAL SPORTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),DIGITAL MEDIA,CLUBS AND SOCIETIES,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),MEDIA RESOURCE LIBRARY,CLUBS AND SOCIETIES,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CIVIL DEFENCE CADET CORPS,UNIFORMED GROUPS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),RED CROSS YOUTH,UNIFORMED GROUPS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),ROBOTICS,CLUBS AND SOCIETIES,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),RUGBY,PHYSICAL SPORTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (HOUSE),OTHERS,CYL
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),TRACK AND FIELD,PHYSICAL SPORTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),WUSHU,PHYSICAL SPORTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,N2 CLUSTER FOOTBALL
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,INDIAN DANCE,VISUAL AND PERFORMING ARTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,PHOTOGRAPHY,CLUBS AND SOCIETIES,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,ROPE SKIPPING,PHYSICAL SPORTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),CHINESE ORCHESTRA,VISUAL AND PERFORMING ARTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,GREEN SERVICE CLUB
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,DANCE ENSEMBLE
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),ROBOTICS,CLUBS AND SOCIETIES,(AI) ROBOTICS CLUB
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),SCOUTS,UNIFORMED GROUPS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),SHOOTING,PHYSICAL SPORTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),ST JOHN BRIGADE,UNIFORMED GROUPS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (HOUSE),OTHERS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),TRACK AND FIELD,PHYSICAL SPORTS,na
AI TONG SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,na
AI TONG SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
AI TONG SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,na
AI TONG SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
AI TONG SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
AI TONG SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,na
AI TONG SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,na
AI TONG SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,na
AI TONG SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,na
AI TONG SCHOOL,PRIMARY,MODULAR CCA (SPORTS),PHYSICAL SPORTS,na
AI TONG SCHOOL,PRIMARY,PERCUSSION ENSEMBLE,VISUAL AND PERFORMING ARTS,na
AI TONG SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,na
AI TONG SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
AI TONG SCHOOL,PRIMARY,TABLE TENNIS,PHYSICAL SPORTS,na
AI TONG SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,na
AI TONG SCHOOL,PRIMARY,VOLLEYBALL,PHYSICAL SPORTS,na
AI TONG SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CHEERLEADING,CLUBS AND SOCIETIES,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CHINESE CULTURE AND LANGUAGE,CLUBS AND SOCIETIES,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CHINESE DRUMS,VISUAL AND PERFORMING ARTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,INTERNATIONAL CHESS,CLUBS AND SOCIETIES,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,RUGBY,PHYSICAL SPORTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,SOFTBALL,PHYSICAL SPORTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,SWIMMING,PHYSICAL SPORTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,TABLE TENNIS,PHYSICAL SPORTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CHINESE DRUMS,VISUAL AND PERFORMING ARTS,FESTIVE DRUMS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,DRAMA CLUB
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,STEM INNOVATORS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,FLOORBALL,PHYSICAL SPORTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,NEW MEDIA ARTS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,INTERNATIONAL CHESS,CLUBS AND SOCIETIES,CHESS CLUB
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,STEM INNOVATORS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,ANGKLUNG/KULINTANG ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB 
ANDERSON PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,BOYS' BRIGADE,UNIFORMED GROUPS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,BRASS BAND,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,DANCE ENSEMBLE
ANDERSON PRIMARY SCHOOL,PRIMARY,CULTURAL DANCE,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,GAIA CLUB
ANDERSON PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,GIRLS' BRIGADE,UNIFORMED GROUPS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,INDIAN DANCE,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,LION AND DRAGON DANCE,CLUBS AND SOCIETIES,na
ANDERSON PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,EUREKA CLUB 
ANDERSON PRIMARY SCHOOL,PRIMARY,TAP DANCE,VISUAL AND PERFORMING ARTS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VOLLEYBALL,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),BIOLOGICAL SCIENCE,CLUBS AND SOCIETIES,ANDERSON SCIENCE ACADEMY
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CHINESE DANCE,VISUAL AND PERFORMING ARTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,BAND
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,ANDERSON THEATRE CIRCLE
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,ENVIRONMENTAL CLUB
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),FENCING,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,INFOCOMM CLUB
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),MALAY DANCE,VISUAL AND PERFORMING ARTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),ROBOTICS,CLUBS AND SOCIETIES,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE YOUTH FLYING CLUB,CLUBS AND SOCIETIES,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),STRATEGY GAMES,CLUBS AND SOCIETIES,HEALTH LEADERS
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),TABLE TENNIS,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),TAEKWONDO,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),VOLLEYBALL,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),WATER POLO,PHYSICAL SPORTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),WUSHU,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,ART AND CRAFTS,CLUBS AND SOCIETIES,VISUAL ARTS CLUB
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,AUDIO VISUAL AID,CLUBS AND SOCIETIES,AVA CLUB
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,BADMINTON,PHYSICAL SPORTS,BADMINTON
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,BASKETBALL,PHYSICAL SPORTS,BASKETBALL
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,"CHINESE LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,CLDDS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CHINESE ORCHESTRA,VISUAL AND PERFORMING ARTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CHOIR,VISUAL AND PERFORMING ARTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,COMMUNITY SERVICE,CLUBS AND SOCIETIES,COMMUNITY CHAMPIONS COUNCIL
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,COMMUNITY SERVICE (FIRST AID),CLUBS AND SOCIETIES,RED CROSS YOUTH
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CONCERT BAND,VISUAL AND PERFORMING ARTS,SYMPHONIC BAND
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,DEBATING AND PUBLIC SPEAKING,CLUBS AND SOCIETIES,DEBATE AND CREATIVE COMMUNICATIONS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,STAGEWORKS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,STEM
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,FOOTBALL,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,FRISBEE,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,HOCKEY,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,"INDIAN LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,TLDDS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,MODERN DANCE,VISUAL AND PERFORMING ARTS,DANCE SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,NETBALL,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,OUTDOOR ADVENTURE,PHYSICAL SPORTS,ODAC
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHOTOGRAPHY,CLUBS AND SOCIETIES,PHOTOGRAPHIC SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,SHOOTING,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,STRATEGY GAMES,CLUBS AND SOCIETIES,STRATEGIST SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,STUDENT LEADERSHIP (COUNCIL),OTHERS,STUDENTS' COUNCIL
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,TABLE TENNIS,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,TAEKWONDO,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,TENNIS,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,TOUCH RUGBY,PHYSICAL SPORTS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VOLLEYBALL,PHYSICAL SPORTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,BRASS BAND,VISUAL AND PERFORMING ARTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,OUTDOOR ADVENTURE,PHYSICAL SPORTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PROJECT CABIN,CLUBS AND SOCIETIES,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,RED CROSS YOUTH,UNIFORMED GROUPS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,TABLE TENNIS,PHYSICAL SPORTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),AUDIO VISUAL AID,CLUBS AND SOCIETIES,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),BOYS' BRIGADE,UNIFORMED GROUPS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),MALAY DANCE,VISUAL AND PERFORMING ARTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (AIR),UNIFORMED GROUPS,na
