school_name,alp_domain,alp_title,llp_domain1,llp_title
Ngee Ann Primary ,STEM - Sustainability,Sustainable Green,Music & Performing Arts,"GRACE (Graciousness through Arts, Creating Excellence) in Performing Arts Programme"
Northoaks Primary,Interdisciplinary,Curriculum Integration through Innovation,Sports & Outdoor Education,"SporTs, OutdooR Programme and Inculcation of Values Education (STRIVE) @ Northoaks"
Northshore Primary,na,na,Sports & Outdoor Education,Outdoor Education and Caring for our Environment @ Northshore (OCE@N)
North Spring Primary ,STEM - Sustainability,Maker�s Sustainability Education,Sports & Outdoor Education,Play Your Hearts Out @  North Spring
North View Primary,STEM - Sustainability,Sustainable Living Starts with Me ,Music & Performing Arts,Every Pupil a Confident Performer
North Vista Primary,ICT & Media,Play. Create. Share,Visual Arts & Design ,ArtsALIVE@VISTA
Northland Primary,Interdisciplinary,Applied Thinking Programme,Music & Performing Arts,"My Story, My Stage "
Oasis Primary ,Interdisciplinary,Nurturing Language Artisans through an Interdisciplinary Approach,Community Service & Student Leadership,"Lead with a Heart, Changemakers for The Future"
Opera Estate Primary,STEM - Sustainability,Opera Goes Green (OPG),Music & Performing Arts,Ignite De Arts @ OEPS
Palm View Primary,Languages,Act-cellent Education through Drama,Community Service & Student Leadership,"The Palm View Challenge � A Leader, An Advocate, A Force For Good"
Park View Primary,Innovation & Enterprise,Innovation through Service and Leadership (iSL@PVPS),Sports & Outdoor Education,Sports Experiential Programme 
Pasir Ris Primary,Innovation & Enterprise,"D2C@PRPS: Discover, Dream and Create Possibilities",Sports & Outdoor Education,E3 in Sports@PRPS
Paya Lebar Methodist Girls' School (Primary),STEM - Transportation,MoveIT,Music & Performing Arts/ Visual Arts & Design ,Aesthetics Expressions @ PL
Pei Chun Public School,Languages, Bilingual Media Studies (BMS) Programme,Community Service & Student Leadership,Pei Chun Leaders Programme (PCLP)
Pei Hwa Presbyterian Primary,Languages,"Competent, Confident Communicators",Sports & Outdoor Education,"Developing Character and Leadership through STAR (Self-defence, Track & field, Adventure and Racquet games) @ PHPPS"
Pei Tong Primary,STEM - Sustainability,PLANET (Pei Tong Learn and Nurture the Environment with Technology) ,Music & Performing Arts,I�MADD
Peiying Primary,Interdisciplinary ,Project THINK (Thinking Holistic Innovative Networked Kids) for Home Earth ,Sports & Outdoor Education,"Sports, Character Development and Adventure Learning Experiences @ Peiying (SCALE@PEIYING)"
Pioneer Primary,Interdisciplinary ,Advocacy through Thinking,Music & Performing Arts,Fitness and Graciousness Through Dance
Poi Ching School,Languages,Developing a Bilingual and Effective Speaker and wriTer in every pupil (BEST),Music & Performing Arts,D�ARTS@PCS
Princess Elizabeth Primary ,Innovation & Enterprise ,Designing For InclUsivity (Design4U),Community Service & Student Leadership,The LOVE (Learning Our Values through Empathy) Experience
Punggol Cove Primary ,Languages,Holistic English Literacy Programme (HELP),Music & Performing Arts/ Visual Arts & Design  ,Grow Every Music Student (GEMS@PC)
Punggol Green Primary,STEM - Sustainability,Action for a Sustainable Future through Science - IGNITE (Inspiring Generations of Novel & Innovative Thinkers & Explorers in Sustainability) @ PGPS Programme,Community Service & Student Leadership,Student Leadership (APPLE-Achieving Purpose and Performance in Leadership Excellence @ PGPS Programme)
Punggol Primary,Interdisciplinary,GreeNovation,Sports & Outdoor Education,Social-emotional learning and character development Through Active paRticipation in Sports & outdoor education (S.T.A.R.S.) programme
Punggol View Primary,Languages,E2C@PGVP (Effective and Empathetic Communicators),Sports & Outdoor Education,Building of Character through Outdoor Experiential Learning
Qifa Primary,Languages,Effective Communication,Sports & Outdoor Education,CHAMPS (CHAracter Moulding Programme through Sports)@Qifa 
Qihua Primary,Innovation & Enterprise,Inventive and Critical Thinking Skills through Innovation and Entrepreneurship Excellence Programme ,Sports & Outdoor Education,Promotion of School Values through Sports Development Programme (SDP)
Queenstown Primary,Interdisciplinary ,Environmental Project-based Learning,Visual Arts & Design ,Connecting the heARTs with ARTs
Radin Mas Primary,STEM - Game Design and Making,Nurturing 21st Century Competencies through Computational Thinking With Design Thinking,Sports & Outdoor Education,G.R.I.T@RMPS - Growth Mindset.Resilience.Independence.Teamwork
Raffles Girls' Primary,Languages,Nurturing Confident Communicators,Music & Performing Arts,Developing Creativity Through Collaborative Music Making
Red Swastika School,STEM - Transportation,Tinkers to Thinkers (T2T) Programme,Community Service & Student Leadership,Every RSS Student A Leader
River Valley Primary ,Languages,Comms-IT Rt!,Community Service & Student Leadership,Every RVian a Leader
Riverside Primary,Interdisciplinary,Playworks � Nurturing Critical and Inventive Thinkers,Community Service & Student Leadership,"PeerWorks - Building Self, Supporting One Another, Serving the Community Together "
Rivervale Primary,STEM - Sustainability,Multi-Literacy Programme (MLP),Music & Performing Arts,Dance and Fitness
Rosyth School,STEM - Material Science,Augmenting Science Learning through Innovation,Music & Performing Arts,Programme for Aesthetics Integration@Rosyth (PAIR)
Rulang Primary,STEM - Transportation,Robotics for a Better World,Sports & Outdoor Education,"Sports Teach Responsibility, Inventiveness, Values & Excellence (STRIVE) @ Rulang"
Sembawang Primary,STEM - Sustainability,Environmental Science,Community Service & Student Leadership,"Nurturing Self Leaders, Community Leaders and Peer Leaders who Advocate and Affect Positive Changes"
Sengkang Green Primary,Interdisciplinary,Future Skills through Experiential Project Work ,Music & Performing Arts,Fostering ICAR2E THROUGH THE ARTS
Seng Kang Primary,Languages,Enhanced Spoken English Programme,Sports & Outdoor Education,Developing Values and Leadership through Sports Education
Shuqun Primary,Interdisciplinary ,Caring and Responsible Environmentalist (CaRE) Programme ,Sports & Outdoor Education,Character and Leadership development through ADventure (CLAD)
Si Ling Primary,STEM - Sustainability,Environmental Science Programme,Community Service & Student Leadership,Community and Student Leadership 
Singapore Chinese Girls (Primary),Languages,"Stories Opening Windows to the world: Using narratives to appreciate Culture, build Connections and effect Change",Music & Performing Arts,"SCGS, Arts For �Ur� Life (SC-ArtFUL)"
South View Primary ,ICT & Media,Sustaining Gaia,Music & Performing Arts,Love Dance.  Love Life!
Springdale Primary,Interdisciplinary,Nurturing Empathetic Change Makers,Community Service & Student Leadership,Nurturing Leaders with a Heart
St Andrew�s Junior,Interdisciplinary,Saints as Servant Leaders who Bring Life to the Nations,Sports & Outdoor Education,Sports for Life
St Anthony's Canossian Primary,STEM - Sustainability,Inno-Eco-Creator Programme,Sports & Outdoor Education,Building Leaders with a Heart for Others through Sports and Arts
St Anthony's Primary,STEM - Game Design and Making,CODE@SAPS ,Visual Arts & Design ,"SAPS Visual Arts Programme (SAPS VAP): Learn, Grow and Serve"
St Hilda's Primary,Languages,The Hildan Ambassador Programme,Visual Arts & Design ,"IMPRINTS Alive! Nurturing Creativity and Culture through Performing Arts, Visual Arts and Leadership"
St Margaret's School (Primary),Languages,"The H.E.A.R.T of Communication (Heart, Head and Hands and Ears through Application in Real-life situations and Tiered)",Sports & Outdoor Education,Sports A. C�. E: Sports for All; Sports for Continuity & Character; Sports for Excellence
St Stephen's Primary,Interdisciplinary,"Smart, Selfless and Sustainability (SSS) Stewards",Sports & Outdoor Education,Physical EducAtion and Sports for every StephenIAN  (PASSIAN)
St Gabriel's Primary,ICT & Media ,Gabrielite Digital Literacy Programme (GDLP),Community Service & Student Leadership,Montfortian Leadership Programme (MLP)
St Joseph's Institution Junior,Interdisciplinary ,Observe � Reflect � Act (ORA @ SJI Junior),Sports & Outdoor Education,Sports Experience Reinforcing Values Education (Serve@SJIJ)
Tampines North Primary,Languages,I am a TNPS Influencer ,Community Service & Student Leadership,Green for Life (G4Life) Programme: Character Building through Environment Education
Tampines Primary,Languages,"STAR ACTtituDE: Students with Strengths, Talents, Aspiration and Resilience to Achieve Creativity and Confidence with Transformation inspired through Drama in Education ",Community Service & Student Leadership,Future-ready Citizens - Developing the Community Leader 
Tanjong Katong Primary,Innovation & Enterprise,D.R.I.V.E. - Developing Resilient Innovative Entrepreneurs,Sports & Outdoor Education,Team Sports Excellence @ TKP
Tao Nan School,STEM - Game Design and Making,"C3@TNS 
Critical, Creative & Computational Thinking   ",Sports & Outdoor Education,ENRICH@TNS
Teck Ghee Primary,STEM - Sustainability,TinkeringG Stars,Visual Arts & Design ,The Art of Communication through Multimedia
Teck Whye Primary,Languages,Media Whiz Kids! Nurturing Confident and Media Literate Communicators ,Community Service & Student Leadership,"I-LEAD, I-SERVE � Leadership through Service"
Telok Kurau Primary,STEM - Game Design and Making,Innovative Thinking through Coding and Robotics,Sports & Outdoor Education,Character Development through Team Sports
Temasek Primary,STEM - Sustainability,RoboALERT (Applicative Learning Experience through Robotics at Temasek),Sports & Outdoor Education,SOAR -- Sports Opportunities for Active lifestyle and physical Resilience
Townsville Primary,na,na,Music & Performing Arts,iDARE through the ARTs
Unity Primary,Languages,Critical Thinking Accelerated Programme (CAPtivate),Community Service & Student Leadership,CharGE UP! (Character Development through Green & Experiential Learning @ Unity Primary)
Valour Primary,na,na,Sports & Outdoor Education,Growing Kindness through the Outdoors
Waterway Primary,Languages,Orators@Waterway,Community Service & Student Leadership,Growth and Benefit Mindset @ Waterway
Wellington Primary,ICT & Media,New Media and Artificial Intelligence For Us (AI4U) ,Music & Performing Arts,Artivists with a HeART   
West Grove Primary,Interdisciplinary,Empowered Emissary of the Environment (E3) Programme ,Community Service & Student Leadership,Gracious Leaders 
West Spring Primary,STEM - Sustainability,Sustaining the Earth with Applied Solutions (SEAS),Sports & Outdoor Education,Joyful ExperienC.E. @ West Spring (ExperienC.E. � Experience Challenging Endeavours)
West View Primary,STEM - Sustainability,F.R.I.E.N.D of Earth,Music & Performing Arts,"ACE the Arts (Appreciate, Create, Explore to Excel)"
Westwood Primary,Interdisciplinary,Positive Design and Maker Education,Community Service & Student Leadership,Igniting Young Hearts with a Passion for the Community and Service Leadership through Positive Education
White Sands Primary,ICT & Media,"The E� journey 
(Excite, Enable, Excel)",Visual Arts & Design  ,"HeARTs @ WSPS
(Heritage ART @ WSPS)"
Woodgrove Primary,Languages,Effective Communication through Drama Pedagogies,Music & Performing Arts,Shine and Succeed through Dance
Woodlands Primary,Languages,Joy of Learning Languages (JOL2@WOODS),Sports & Outdoor Education,Sports Performance And Character Education (SPACE)
Woodlands Ring Primary,STEM - Game Design and Making,Be a deSign Thinker (B.E.S.T),Community Service & Student Leadership,I can Soar Leadership Programme @WRP
Xinghua Primary,Interdisciplinary,Environmental Education in Xinghua,Visual Arts & Design ,Confidence Building and Critical Thinking through the Visual Arts
Xingnan Primary ,STEM - Material Science,Xingnan Explorers,Music & Performing Arts,FLAIR@XINGNAN � An experience with Performing Arts
Xinmin Primary,Interdisciplinary,GLOBE@Xinmin Pri Sch (Green Lifestyle Observed By Everyone),Community Service & Student Leadership,Cultivating a Life of Values and Excellence (CLOVE)
Xishan Primary ,Languages ,News Enrichment Xishanites Unitedly Share (NEXUS),Community Service & Student Leadership,Developing Confident Leaders through Mental Skills Empowerment and Values In Action 
Yangzheng Primary,Innovation & Enterprise,Future-Makers Eco-Champions (FMEC) @ YZ,Community Service & Student Leadership,4H Leadership @ YZPS
Yew Tee Primary,Interdisciplinary,"D.R.E.A.M.@Yew Tee (Developing Reflective Learners, Empowering Creative Minds)",Sports & Outdoor Education,Holistic Enriching and Rewarding Outdoor Education & Sports (HEROES) @ YTPS
Yio Chu Kang Primary,STEM - Sustainability,ESTEM@YCKPS (ALP in Environmental STEM-based applied learning at YCKPS),Music & Performing Arts,CREATE@YCKPS
Yishun Primary,STEM - Sustainability,"Be Environmentally Green, Don't Leave Your Footprint",Music & Performing Arts,"Viva De Symphonie � Championing Values: Living, Learning and Growing through Music"
Yu Neng Primary,ICT & Media,Tech4Good,Sports & Outdoor Education,GOal GR3IT
Yuhua Primary,Interdisciplinary,Think@Yuhua � Developing Critical and Creative Thinkers,Music & Performing Arts,Building Good Character through Music and the Performing Arts
Yumin Primary,STEM - Game Design and Making,"I3QUEST �Question, Imagine, Innovate, Inspire",Community Service & Student Leadership,"Developing Flourishing, Compassionate Yumin Champions who are rooted to Singapore"
Zhangde Primary,STEM - Sustainability,Developing Zhangde GIVER3S Values Through Environment Education,Sports & Outdoor Education,"DARE@ZPS (Discover, Adventure, Relationship building, Espirit de-Corps)"
Zhenghua Primary,Interdisciplinary,Advocates and Innovators for Sustainable Living,Music & Performing Arts/ Visual Arts & Design  ,Creative Arts @ Zhenghua
Zhonghua Primary,STEM - Sustainability,Thinknovate@ZPS,Community Service & Student Leadership,Green Education Movement @ Zhonghua Primary School (GEM@ZPS)
