school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,Vacancy,Applicant,Admission,Popularity,distprog_ICT,distprog_Interdisciplinary,distprog_Languages,distprog_STEM,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affliation_count,top_psle_score
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO   ,536741,GIRLS' SCHOOL,0,0,0,44,46,95.7%,1.05,0,0,0,0,5,1,7,1,5,0,0
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH   ,319320,CO-ED SCHOOL,1,0,0,21,32,65.6%,1.52,0,0,1,0,6,3,5,2,3,0,0
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE   ,597610,CO-ED SCHOOL,1,0,0,20,51,39.2%,2.55,0,0,1,1,5,0,5,2,7,0,0
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5   ,129857,CO-ED SCHOOL,0,0,0,73,0,100%,-,0,0,0,1,4,0,4,3,3,0,0
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD   ,768687,CO-ED SCHOOL,0,0,0,35,0,100%,-,0,1,0,0,4,0,5,2,4,0,0
PIONEER PRIMARY SCHOOL,80 TENGAH GARDEN AVENUE   ,699915,CO-ED SCHOOL,0,0,0,113,6,100%,0.05,0,1,0,0,4,1,4,2,2,0,0
POI CHING SCHOOL,21 TAMPINES STREET 71   ,529067,CO-ED SCHOOL,1,0,0,47,42,100%,0.89,0,0,1,1,4,0,6,2,4,0,0
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3   ,659163,CO-ED SCHOOL,0,0,0,20,28,71.4%,1.40,0,0,0,0,3,1,4,3,6,0,0
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk   ,828674,CO-ED SCHOOL,0,0,0,20,3,100%,0.15,0,0,1,0,3,1,6,1,3,0,0
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk   ,828772,CO-ED SCHOOL,0,0,0,20,3,100%,0.15,0,0,0,1,4,1,3,1,5,0,0
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8   ,538787,CO-ED SCHOOL,0,0,0,26,0,100%,-,0,1,1,1,5,0,3,2,5,0,0
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place   ,828845,CO-ED SCHOOL,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,3,0,0
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE   ,128104,CO-ED SCHOOL,0,0,0,47,12,100%,0.26,0,0,1,0,3,0,5,2,5,0,0
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81   ,738525,CO-ED SCHOOL,0,0,0,37,0,100%,-,0,0,0,0,5,0,4,2,5,0,0
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR   ,149303,CO-ED SCHOOL,0,0,0,35,0,100%,-,0,1,0,0,6,0,5,2,5,0,0
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE   ,99840,CO-ED SCHOOL,0,0,0,23,22,100%,0.96,0,0,0,1,4,2,5,3,3,0,0
RAFFLES GIRLS' PRIMARY SCHOOL,21 Hillcrest Road   ,289072,GIRLS' SCHOOL,0,0,1,49,31,100%,0.63,0,0,1,0,5,0,6,2,5,0,1
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3   ,469719,CO-ED SCHOOL,1,0,0,20,42,47.6%,2.10,0,0,0,1,3,0,6,2,4,0,0
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN   ,237993,CO-ED SCHOOL,0,0,0,35,14,100%,0.40,0,0,1,0,4,2,7,3,4,0,0
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent   ,737803,CO-ED SCHOOL,0,0,0,20,6,100%,0.30,0,1,0,0,4,0,6,1,4,0,0
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT   ,688268,CO-ED SCHOOL,0,0,0,48,0,100%,-,0,0,1,1,5,0,5,1,5,0,0
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE   ,545092,CO-ED SCHOOL,0,0,0,38,17,100%,0.45,0,0,0,1,5,0,7,1,4,0,0
ROSYTH SCHOOL,21 Serangoon North Avenue 4   ,555855,CO-ED SCHOOL,0,0,1,20,31,64.5%,1.55,0,0,0,1,10,0,8,2,6,0,1
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52   ,649295,CO-ED SCHOOL,0,0,0,20,30,66.7%,1.50,0,0,0,1,5,1,7,2,4,0,0
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE   ,757715,CO-ED SCHOOL,0,0,0,25,0,100%,-,0,0,0,1,4,1,6,1,6,0,0
