school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,Vacancy,Applicant,Admission,Popularity,distprog_ICT,distprog_Interdisciplinary,distprog_Languages,distprog_STEM,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affliation_count,top_psle_score
CHONGFU SCHOOL,170 YISHUN AVENUE 6   ,768959,CO-ED SCHOOL,0,0,0,20,39,51.3%,1.95,0,0,0,0,5,0,6,3,5,0,0
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21   ,529392,CO-ED SCHOOL,0,0,0,44,10,100%,0.23,0,0,0,0,5,0,4,2,6,0,0
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,CO-ED SCHOOL,0,0,0,30,16,100%,0.53,0,0,0,2,3,0,4,1,6,0,0
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3   ,129903,CO-ED SCHOOL,0,0,0,77,0,100%,-,0,1,0,1,7,2,6,1,6,0,0
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,CO-ED SCHOOL,0,0,0,38,19,100%,0.50,0,0,0,2,4,0,5,1,5,0,0
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4   ,689814,CO-ED SCHOOL,0,0,0,29,1,100%,0.03,0,1,0,0,1,0,4,0,4,0,0
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24   ,648347,CO-ED SCHOOL,0,0,0,36,0,100%,-,0,1,0,0,4,1,4,2,5,0,0
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT   ,479226,CO-ED SCHOOL,0,0,0,0,0,0,0,1,0,0,1,4,0,3,2,4,0,0
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31   ,659441,CO-ED SCHOOL,0,0,0,26,0,100%,-,0,0,0,1,1,1,6,2,3,0,0
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,CO-ED SCHOOL,0,0,0,51,12,100%,0.24,0,0,0,0,6,0,5,2,3,0,0
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33   ,529258,CO-ED SCHOOL,0,0,0,55,0,100%,-,1,0,0,1,3,0,4,1,5,0,0
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS   ,828869,CO-ED SCHOOL,0,0,0,59,0,100%,-,0,0,0,1,3,0,4,1,3,0,0
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,CO-ED SCHOOL,0,0,0,22,0,100%,-,0,1,0,0,3,0,4,1,3,0,0
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link   ,757521,CO-ED SCHOOL,0,0,0,58,0,100%,-,0,1,0,0,3,1,8,2,6,0,0
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE   ,738908,CO-ED SCHOOL,0,0,0,33,0,100%,-,0,0,1,1,3,1,4,1,5,0,0
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,CO-ED SCHOOL,0,0,0,20,30,66.7%,1.50,0,0,1,0,4,0,5,3,4,0,0
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,CO-ED SCHOOL,0,0,0,43,0,100%,-,0,1,0,0,5,0,6,2,4,0,0
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,CO-ED SCHOOL,0,0,0,23,0,100%,-,0,1,0,0,2,1,5,4,5,0,0
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link,797538,CO-ED SCHOOL,0,0,0,51,0,100%,-,0,0,0,1,4,0,5,1,5,0,0
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,797701,CO-ED SCHOOL,0,0,0,52,1,100%,0.02,0,0,0,1,4,0,4,1,5,0,0
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,319252,CO-ED SCHOOL,0,0,0,50,0,100%,-,1,0,0,0,3,2,2,4,2,0,0
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,CO-ED SCHOOL,0,0,0,20,23,87%,1.15,0,1,0,0,3,1,5,2,4,0,0
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,739063,CO-ED SCHOOL,0,0,0,31,0,100%,-,0,0,1,1,4,0,4,1,4,0,0
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,CO-ED SCHOOL,0,0,0,39,0,100%,-,0,0,0,2,6,3,6,3,5,0,0
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,158901,CO-ED SCHOOL,0,0,0,39,0,100%,-,0,1,0,1,3,0,5,3,3,0,0
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,CO-ED SCHOOL,0,0,0,47,4,100%,0.09,0,0,1,1,4,0,6,2,5,0,0
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,CO-ED SCHOOL,0,0,0,20,17,100%,0.85,0,0,1,0,5,0,5,1,2,0,0
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,828848,CO-ED SCHOOL,0,0,0,43,0,100%,-,0,1,0,1,4,1,6,3,3,0,0
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,CO-ED SCHOOL,0,0,0,29,1,100%,0.03,0,0,1,1,5,1,7,3,4,0,0
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,CO-ED SCHOOL,0,0,0,30,0,100%,-,0,0,1,0,4,0,4,1,6,0,0
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,GIRLS' SCHOOL,0,0,0,39,20,100%,0.51,0,1,0,0,3,0,5,2,6,0,0
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,CO-ED SCHOOL,0,0,1,31,31,100%,1.00,0,0,0,1,5,0,10,3,5,0,1
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,CO-ED SCHOOL,1,0,0,22,44,50%,2.00,0,0,1,1,7,0,6,2,4,0,0
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,CO-ED SCHOOL,1,0,0,28,23,100%,0.82,0,1,0,0,6,0,6,0,5,0,0
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,CO-ED SCHOOL,0,0,0,20,11,100%,0.55,0,0,0,1,6,1,7,1,2,0,0
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,CO-ED SCHOOL,0,0,0,38,16,100%,0.42,0,0,1,1,7,0,6,1,8,0,0
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,CO-ED SCHOOL,0,0,0,20,2,100%,0.10,0,1,0,0,7,1,5,1,6,0,0
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,CO-ED SCHOOL,0,0,0,36,4,100%,0.11,0,1,0,0,3,0,4,2,4,0,0
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,768515,CO-ED SCHOOL,0,0,0,34,0,100%,-,0,0,1,0,3,0,4,1,6,0,0
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,CO-ED SCHOOL,0,0,0,20,0,100%,-,0,0,0,1,4,0,4,1,3,0,0
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,CO-ED SCHOOL,0,0,0,28,0,100%,-,0,0,1,1,5,1,4,1,4,0,0
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,609476,CO-ED SCHOOL,0,0,0,20,1,100%,0.05,0,0,1,1,3,0,5,1,4,0,0
