school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,CO-ED SCHOOL,0,0,0,0.59,0.54,0.58,1.68,0.0,30,2,3,0,4,1,6,0,0
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3   ,129903,CO-ED SCHOOL,0,0,0,0.31,0.09,0.0,0.35,0.87,37,2,7,2,6,1,6,0,0
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,CO-ED SCHOOL,0,0,0,0.57,0.19,0.42,1.28,0.0,25,2,4,0,5,1,5,0,0
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4   ,689814,CO-ED SCHOOL,0,0,0,0.6,0.33,0.04,0.81,1.3,29,1,1,0,4,0,4,0,0
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24   ,648347,CO-ED SCHOOL,0,0,0,0.47,0.15,0.02,0.27,0.27,29,1,4,1,4,2,5,0,0
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT   ,479226,CO-ED SCHOOL,0,0,0,0.39,0.16,0.01,0.23,0.27,31,2,4,0,3,2,4,0,0
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31   ,659441,CO-ED SCHOOL,0,0,0,0.53,0.8,0.0,1.06,5.29,24,1,1,1,6,2,3,0,0
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,CO-ED SCHOOL,0,0,0,0.47,0.15,0.22,0.81,1.39,29,1,6,0,5,2,3,2,0
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33   ,529258,CO-ED SCHOOL,0,0,0,0.37,0.13,0.01,0.42,0.39,25,2,3,0,4,1,5,0,0
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS   ,828869,CO-ED SCHOOL,0,0,0,0.4,0.08,0.0,0.29,0.36,32,2,3,0,4,1,3,0,0
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,CO-ED SCHOOL,0,0,0,0.73,0.72,0.05,1.58,0.0,31,1,3,0,4,1,3,0,0
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link   ,757521,CO-ED SCHOOL,0,0,0,0.38,0.05,0.02,0.35,0.57,30,1,3,1,8,2,6,0,0
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE   ,738908,CO-ED SCHOOL,0,0,0,0.55,0.23,0.01,0.65,0.84,32,2,3,1,4,1,5,0,0
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,CO-ED SCHOOL,0,0,0,0.55,1.05,1.8,1.8,0.0,32,1,4,0,5,3,4,1,0
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,CO-ED SCHOOL,0,0,0,0.33,0.18,0.01,0.26,0.45,30,1,5,0,6,2,4,0,0
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,CO-ED SCHOOL,0,0,0,0.56,0.79,0.04,1.13,0.62,23,1,2,1,5,4,5,0,0
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link,797538,CO-ED SCHOOL,0,0,0,0.62,0.6,0.04,0.89,0.64,33,1,4,0,5,1,5,0,0
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,797701,CO-ED SCHOOL,0,0,0,0.45,0.27,0.02,0.58,1.02,29,1,4,0,4,1,5,0,0
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,319252,CO-ED SCHOOL,0,0,0,0.22,0.11,0.0,0.08,0.14,29,1,3,2,2,4,2,0,0
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,CO-ED SCHOOL,0,0,0,0.54,1.21,0.84,1.71,0.0,24,1,3,1,5,2,4,0,0
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,739063,CO-ED SCHOOL,0,0,0,0.45,0.26,0.01,0.42,0.1,29,2,4,0,4,1,4,0,0
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,CO-ED SCHOOL,0,0,0,0.42,0.29,0.01,0.38,0.39,24,2,6,3,6,3,5,0,0
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,158901,CO-ED SCHOOL,0,0,0,0.37,0.08,0.0,0.2,0.19,29,2,3,0,5,3,3,0,0
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,CO-ED SCHOOL,0,0,0,0.46,0.27,0.11,0.93,0.55,29,2,4,0,6,2,5,1,0
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,CO-ED SCHOOL,0,0,0,0.62,2.65,0.85,2.47,0.0,27,1,5,0,5,1,2,0,0
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,828848,CO-ED SCHOOL,0,0,0,0.4,0.22,0.0,0.18,0.3,29,2,4,1,6,3,3,0,0
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,CO-ED SCHOOL,0,0,0,0.54,0.23,0.02,0.28,0.17,23,2,5,1,7,3,4,0,0
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,CO-ED SCHOOL,0,0,0,0.58,0.16,0.03,0.71,0.95,30,1,4,0,4,1,6,0,0
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,GIRLS' SCHOOL,0,0,0,0.34,0.25,0.29,0.88,1.29,29,1,3,0,5,2,6,0,0
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,CO-ED SCHOOL,0,0,1,0.52,0.99,1.18,1.6,0.0,24,1,5,0,10,3,5,0,1
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,CO-ED SCHOOL,1,0,0,0.52,1.08,2.46,2.53,0.0,14,2,7,0,6,2,4,1,0
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,CO-ED SCHOOL,1,0,0,0.54,0.5,0.83,1.98,0.0,24,1,6,0,6,0,5,0,0
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,CO-ED SCHOOL,0,0,0,0.55,1.14,0.7,1.73,0.0,29,1,6,1,7,1,2,0,0
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,CO-ED SCHOOL,0,0,0,0.59,0.28,0.47,1.35,0.0,29,2,7,0,6,1,8,0,0
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,CO-ED SCHOOL,0,0,0,0.58,1.03,0.08,1.43,0.0,27,1,7,1,5,1,6,0,0
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,CO-ED SCHOOL,0,0,0,0.54,0.15,0.28,0.72,0.19,32,1,3,0,4,2,4,0,0
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,768515,CO-ED SCHOOL,0,0,0,0.51,0.27,0.01,0.49,0.67,22,1,3,0,4,1,6,0,0
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,CO-ED SCHOOL,0,0,0,0.58,1.13,0.02,0.99,0.62,22,1,4,0,4,1,3,0,0
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,CO-ED SCHOOL,0,0,0,0.5,0.81,0.0,0.89,1.24,24,2,5,1,4,1,4,0,0
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,609476,CO-ED SCHOOL,0,0,0,0.47,0.31,0.0,0.5,0.97,30,4,3,0,5,1,4,0,0
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,648368,CO-ED SCHOOL,0,0,0,0.59,0.92,0.07,1.07,0.74,24,0,2,1,5,1,4,0,0
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,CO-ED SCHOOL,0,0,0,0.48,0.22,0.82,1.29,0.0,28,1,8,5,5,1,7,1,0
