school_name,address,postal_code,nature_code,sap_ind,autonomous_ind,gifted_ind,P1_demand,P2A_demand,P2B_demand,P2C_demand,P2CS_demand,subject_count,distprog_count,cca_clubs,cca_others,cca_sports,cca_uniformed,cca_arts,affiliation_count,top_psle_score,school_score_raw,school_score,school_tier
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,CO-ED SCHOOL,0,0,0,0.48,0.22,0.82,1.29,0.0,28,1,8,5,5,1,7,1,0,0.13588210569859718,0.3142318781968712,Tier 2
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,649332,CO-ED SCHOOL,0,0,0,0.57,1.32,0.68,1.65,0.0,22,1,4,1,5,4,3,0,0,0.11480565834546565,0.26549189434511694,Tier 2
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,797636,CO-ED SCHOOL,0,0,0,0.53,1.22,0.83,2.09,0.0,24,1,4,0,4,1,7,0,0,0.0984523569466689,0.22767434223371727,Tier 2
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,CO-ED SCHOOL,0,0,0,0.57,0.85,0.88,1.65,0.0,25,1,5,1,7,2,5,0,0,0.09249193100197166,0.21389065946087288,Tier 2
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3   ,469300,CO-ED SCHOOL,0,0,0,0.61,1.71,0.51,2.26,0.0,27,1,5,0,5,2,3,0,0,0.09175556308742036,0.2121877842246985,Tier 2
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO   ,536741,GIRLS' SCHOOL,0,0,0,0.35,0.48,0.92,1.27,0.0,29,1,5,1,7,1,5,1,0,0.08914856526045337,0.20615901524580083,Tier 2
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,CO-ED SCHOOL,0,0,0,0.57,0.63,0.73,1.27,0.0,30,1,4,0,4,2,11,0,0,0.08717743065511604,0.20160070106580213,Tier 2
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE   ,99840,CO-ED SCHOOL,0,0,0,0.55,0.88,0.95,1.74,0.0,29,1,4,2,5,3,3,0,0,0.08316668060493265,0.19232570849214545,Tier 2
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,CO-ED SCHOOL,0,0,0,0.55,0.84,0.96,1.7,0.0,29,1,3,1,4,3,4,0,0,0.07452946096410902,0.1723518514770423,Tier 2
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,757702,CO-ED SCHOOL,0,0,0,0.6,1.08,0.59,2.18,0.0,29,1,5,0,5,1,7,0,0,0.06833199881437829,0.15802001461484674,Tier 2
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,CO-ED SCHOOL,0,0,0,0.54,1.21,0.84,1.71,0.0,24,1,3,1,5,2,4,0,0,0.061243675445254206,0.14162803162271365,Tier 2
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21   ,518968,CO-ED SCHOOL,0,0,0,0.69,1.0,1.01,1.68,0.0,30,1,4,1,13,0,3,0,0,0.05485820404120772,0.1268614171214883,Tier 2
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,556108,CO-ED SCHOOL,0,0,0,0.68,1.5,0.59,1.71,0.0,29,1,3,0,4,2,4,0,0,0.051091692540975696,0.11815123429878979,Tier 2
ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE   ,359337,BOYS' SCHOOL,0,0,0,0.3,0.5,0.83,1.3,0.0,29,0,4,0,6,2,2,1,0,0.03872013654079824,0.08954160054188764,Tier 2
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,CO-ED SCHOOL,0,0,0,0.55,1.14,0.7,1.73,0.0,29,1,6,1,7,1,2,0,0,0.01686774749884044,0.039007225787831896,Tier 2
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,CO-ED SCHOOL,0,0,0,0.47,0.15,0.22,0.81,1.39,29,1,6,0,5,2,3,2,0,0.01612519790085482,0.03729005520359828,Tier 2
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,469623,CO-ED SCHOOL,0,0,0,0.63,1.09,0.62,1.45,0.0,21,1,5,2,4,1,4,0,0,0.006083811315565529,0.014069015537086144,Tier 2
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6   ,659762,CO-ED SCHOOL,0,0,0,0.56,0.64,0.52,1.79,0.0,33,1,5,0,4,3,4,0,0,0.004989887305381815,0.011539279965522722,Tier 2
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73   ,649188,CO-ED SCHOOL,0,0,0,0.54,1.1,0.49,1.53,0.0,29,1,4,0,4,2,5,0,0,-0.0007357255621554521,-0.001701389774944677,Tier 3
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,CO-ED SCHOOL,0,0,0,0.59,0.28,0.47,1.35,0.0,29,1,7,0,6,1,8,0,0,-0.012994104814653946,-0.030049298547467667,Tier 3
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN   ,237993,CO-ED SCHOOL,0,0,0,0.52,0.59,0.57,1.18,0.0,29,1,4,2,7,3,4,0,0,-0.018577677178175864,-0.042961494909285955,Tier 3
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50   ,738853,CO-ED SCHOOL,0,0,0,0.56,0.41,0.29,0.99,0.92,26,1,11,0,7,1,6,0,0,-0.02847618428249461,-0.0658521210351016,Tier 3
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan   ,556742,BOYS' SCHOOL,0,0,0,0.33,0.29,0.71,0.82,1.86,29,1,6,0,11,1,2,1,0,-0.03555382898751174,-0.08221940926215353,Tier 3
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD   ,534793,GIRLS' SCHOOL,0,0,0,0.34,0.2,0.86,1.07,0.0,21,1,2,1,4,1,3,1,0,-0.044723220472540966,-0.10342393132522953,Tier 3
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE   ,449149,CO-ED SCHOOL,0,0,0,0.48,0.31,0.07,1.01,0.74,29,1,4,3,7,2,7,1,0,-0.04494786752387875,-0.10394343508556896,Tier 3
